id,district&county,city,height,slope,infected_sum,plant_mean
0,badongxian,enshi,1044.001734,21.55161786,12,0.800864246
1,enshishi,enshi,1055.453128,17.82599636,28,0.775032344
2,hefengxian,enshi,1143.949338,21.55211164,5,0.758997278
3,jianshixian,enshi,1145.017675,18.91949998,20,0.749072416
4,laifengxian,enshi,675.359139,14.69978127,11,0.777348732
5,lichuanshi,enshi,1220.911486,15.60934497,18,0.7548918
6,xianfengxian,enshi,957.7179958,17.12808204,4,0.767390265
7,xuanenxian,enshi,1035.972955,19.59898915,12,0.778925397
8,echengqu,ezhou,35.51843499,2.652405771,7,0.696602474
9,huarongqu,ezhou,22.45610285,1.032357023,6,0.673672002
10,liangzihuqu,ezhou,32.70782575,2.652405771,3,0.652170467
11,honganxian,huanggang,107.1052097,5.204582873,17,0.68068075
12,huangmeixian,huanggang,81.88372827,3.772100665,27,0.703848711
13,huangzhoushi,huanggang,20.99399399,1.311821947,4,0.670318199
15,luotianxian,huanggang,301.6973934,11.87938971,10,0.759506092
16,machengshi,huanggang,213.4089141,4.20187691,31,0.729300951
17,qichunxian,huanggang,171.1199136,7.994726551,23,0.782486413
18,tuanfengxian,huanggang,107.8883238,4.20187691,7,0.765195189
19,wuxueshi,huanggang,66.06785104,4.202158266,14,0.724220809
20,xishuixian,huanggang,81.51650283,4.359325516,18,0.765468239
21,yingshanxian,huanggang,392.6723877,12.83780051,8,0.759420728
22,dayequ,huangshi,97.36427109,6.33304072,31,0.728269829
23,huangshigangqu,huangshi,33.30398716,3.748797192,4,0.57976572
24,tieshanqu,huangshi,109.248324,10.48939016,0,0.552155781
25,xialuqu,huangshi,69.51037598,6.321126787,5,0.625176234
26,xisaishanqu,huangshi,71.11663762,7.189610129,1,0.646341052
27,yangxinxian,huangshi,116.7511099,8.258873495,32,0.760622781
28,dongbaoqu,jingmen,193.4705733,7.170080855,22,0.752262968
29,duodaoqu,jingmen,93.65814757,2.052255484,2,0.643501131
30,jingshanshi,jingmen,156.175789,6.538773167,17,0.720193844
31,shayangxian,jingmen,51.90904311,1.200627374,28,0.724985821
32,zhongxiangshi,jingmen,102.0861254,3.519891946,40,0.707290881
33,gonganxian,jingzhou,35.59789911,0.694846176,38,0.707694853
34,honghushi,jingzhou,24.25021189,0.511644197,19,0.660380205
35,jianglingxian,jingzhou,29.40092498,0.575410147,14,0.73680345
36,jianlixian,jingzhou,26.74194285,0.521482654,39,0.725057599
37,jingzhouqu,jingzhou,40.85199176,0.872340594,23,0.682236919
38,shashiqu,jingzhou,29.05631898,0.591264817,17,0.681316784
39,shishoushi,jingzhou,34.00497007,0.922101818,19,0.678952154
40,songzishi,jingzhou,115.7168663,3.888085937,31,0.72858688
41,qianjiangshi,qianjiang,29.84623375,1.385866599,40,0.680363057
42,shennongjialinqu,shennongjialinqu,1670.364985,25.22096432,3,0.748661114
43,danjiangkoushi,shiyan,390.5019938,12.71283796,7,0.746591671
44,fangxian,shiyan,896.8342171,20.5985915,16,0.7468269
45,maojianqu,shiyan,634.8862749,17.77494311,1,0.745669995
46,yunxixian,shiyan,706.6919195,19.83765234,2,0.729780666
47,yunyangqu,shiyan,525.2323888,16.30100817,17,0.76374127
48,zhangwanqu,shiyan,469.0366609,16.44777932,0,0.767901333
49,zhushanxian,shiyan,823.8918506,20.54746652,13,0.744549404
50,zhuxixian,shiyan,1029.547823,21.86053499,11,0.73911282
51,guangshuishi,suizhou,162.7527745,5.777987338,10,0.675411936
52,suixian,suizhou,218.7341821,6.922971607,5,0.686574778
53,zengduqu,suizhou,115.4146108,4.129075879,29,0.688497316
54,tianmenshi,tianmen,31.25010064,1.644480496,42,0.660934935
55,caidianqu,wuhan,28.17574968,1.390290249,15,0.669777242
56,dongxihuqu,wuhan,23.08860466,0.693769036,6,0.64648251
57,hannanqu,wuhan,24.17514521,0.657025626,0,0.661573273
58,hanyangqu,wuhan,25.11791561,1.347911777,4,0.589099347
59,hongshanqu,wuhan,27.38510985,1.487580027,10,0.61188361
60,huangpoqu,wuhan,66.27286152,3.334712616,22,0.724431576
61,jianganqu,wuhan,24.61717667,1.120163819,4,0.601705247
62,jianghanqu,wuhan,27.6860975,1.381239483,2,0.607472099
63,jiangxiaqu,wuhan,30.96568828,1.612351382,10,0.650725014
64,qiaokouqu,wuhan,27.97126336,1.102870899,4,0.543500701
65,qingshanqu,wuhan,30.33456505,1.321815016,7,0.586039372
66,wuchangqu,wuhan,26.87267183,1.259839953,5,0.490761976
67,xinzhouqu,wuhan,35.36403953,1.424406596,21,0.717996006
68,baokangxian,xiangyang,902.2386047,20.84401223,8,0.746034066
69,fanchengqu,xiangyang,82.16428857,1.13022098,7,0.659364357
70,guchengxian,xiangyang,370.9343561,13.01208164,18,0.758833302
71,laohekoushi,xiangyang,134.2612205,1.993213124,13,0.718216544
72,nanzhangxian,xiangyang,471.524706,13.66007139,29,0.709820353
73,xiangchengqu,xiangyang,100.7877699,3.252453321,8,0.714430652
74,xiangzhouqu,xiangyang,100.7877699,1.473756182,29,0.704361917
75,yichengshi,xiangyang,111.7758587,3.45793582,19,0.698963617
76,zaoyangshi,xiangyang,150.748413,2.549094658,24,0.663932744
77,chibishi,xianning,89.92980571,5.271759124,6,0.778010468
78,chongyangxian,xianning,247.5709627,11.8035375,9,0.796973264
79,jiayuxian,xianning,28.99166344,1.312217032,7,0.667133169
80,tongchengxian,xianning,260.0862043,8.84521436,18,0.742024723
81,tongshanxian,xianning,292.9771025,14.06858857,6,0.801794986
82,xiananqu,xianning,105.8846776,6.046145769,14,0.796304921
83,xiantaoshi,xiantao,26.6777134,1.597076591,42,0.709412413
84,anlushi,xiaogan,85.45252965,2.997297513,1,0.704106918
85,dawuxian,xiaogan,169.0721615,7.740448289,5,0.655708205
86,hanchuanshi,xiaogan,26.13280029,0.58558195,18,0.680193916
87,xiaochangxian,xiaogan,26.13280029,3.679694203,10,0.663909313
88,xiaonanqu,xiaogan,32.90459948,0.847642749,7,0.712568249
89,yingchengshi,xiaogan,39.62504568,1.058831882,14,0.689842318
90,yunmengxian,xiaogan,33.60973126,0.661317558,10,0.644555943
91,changyangtujiazuzizhixian,yichang,853.0471925,20.483726,10,0.75510313
92,dangyangshi,yichang,127.4451117,4.504399749,34,0.686951131
93,dianjunqu,yichang,291.2078133,13.57050996,9,0.827589522
94,hutingqu,yichang,110.5442302,4.094980668,1,0.703942652
95,wufengtujiazuzizhixian,yichang,1168.783088,21.13431394,10,0.676127646
96,wujiagangqu,yichang,82.67608889,4.715775138,5,0.637445019
97,xilingqu,yichang,137.0600752,7.174475708,1,0.640919487
98,xingshanxian,yichang,1107.945604,23.29756179,1,0.777036047
99,yidushi,yichang,262.8318977,10.83190627,15,0.808053769
100,yilingqu,yichang,642.3746145,16.08171108,12,0.818814118
101,yuananxian,yichang,464.6135521,14.779672,6,0.75432318
102,zhijiangshi,yichang,67.14726818,1.448509401,31,0.725118441
103,ziguixian,yichang,826.5188879,22.25920151,4,0.823144666
