地区,湖北,鄂州市,恩施州,黄冈市,黄石市,荆门市,荆州市,潜江市,神农架林区,十堰市,随州市,天门市,武汉市,仙桃市,咸宁市,襄樊市,孝感市,宜昌市
2004_inumber,224,0,2,8,1,26,71,15,0,0,6,4,29,17,14,7,13,11
2005_inumber,184,4,0,25,21,16,24,6,0,0,2,4,19,4,16,16,7,20
2006_inumber,218,4,9,49,24,8,17,4,0,9,4,10,12,8,11,20,5,24
2007_inumber,151,3,6,23,9,6,19,4,2,10,10,4,11,2,7,12,11,12
2008_inumber,90,1,13,16,4,9,10,1,0,2,5,6,5,2,3,9,2,2
2009_inumber,120,1,31,12,4,6,8,0,1,14,6,2,8,4,0,11,2,10
2010_inumber,84,0,20,5,3,10,9,1,0,5,0,2,4,1,2,13,5,4
2011_inumber,86,2,10,7,2,6,7,3,0,4,2,4,11,2,2,16,2,6
2012_inumber,56,0,4,7,2,1,4,0,0,2,4,4,2,1,3,8,4,10
2013_inumber,39,0,4,1,2,3,5,0,0,2,1,1,4,0,1,6,5,4
2014_inumber,39,1,2,2,1,4,7,3,0,1,0,0,1,0,0,9,2,6
2015_inumber,37,0,6,1,0,2,7,0,0,7,2,0,0,0,0,3,2,7
2016_inumber,31,0,0,0,0,3,5,2,0,2,2,0,1,0,0,8,1,7
2017_inumber,39,0,2,3,0,6,3,0,0,5,0,0,0,0,0,8,2,10
2018_inumber,36,0,1,0,0,3,4,1,0,4,0,1,3,1,1,9,2,6
